Time (CET),Day-ahead Total Load Forecast [MW] - Greece (GR),Actual Total Load [MW] - Greece (GR)
01.01.2023 00:00 - 01.01.2023 01:00,0.000611336,0.000611336
01.01.2023 01:00 - 01.01.2023 02:00,0.000965419,0.000965419
01.01.2023 02:00 - 01.01.2023 03:00,0.00099856,0.00099856
01.01.2023 03:00 - 01.01.2023 04:00,0.001030789,0.001030789
01.01.2023 04:00 - 01.01.2023 05:00,0.001063919,0.001063919
01.01.2023 05:00 - 01.01.2023 06:00,0.001102394,0.001102394
01.01.2023 06:00 - 01.01.2023 07:00,0.001148465,0.001148465
01.01.2023 07:00 - 01.01.2023 08:00,0.00120322,0.00120322
01.01.2023 08:00 - 01.01.2023 09:00,0.001227854,0.001227854
01.01.2023 09:00 - 01.01.2023 10:00,0.001196959,0.001196959
01.01.2023 10:00 - 01.01.2023 11:00,0.00112739,0.00112739
01.01.2023 11:00 - 01.01.2023 12:00,0.001045235,0.001045235
01.01.2023 12:00 - 01.01.2023 13:00,0.000963435,0.000963435
01.01.2023 13:00 - 01.01.2023 14:00,0.00088821,0.00088821
01.01.2023 14:00 - 01.01.2023 15:00,0.000820832,0.000820832
01.01.2023 15:00 - 01.01.2023 16:00,0.000782633,0.000782633
01.01.2023 16:00 - 01.01.2023 17:00,0.000794465,0.000794465
01.01.2023 17:00 - 01.01.2023 18:00,0.000867766,0.000867766
01.01.2023 18:00 - 01.01.2023 19:00,0.000974185,0.000974185
01.01.2023 19:00 - 01.01.2023 20:00,0.001058732,0.001058732
01.01.2023 20:00 - 01.01.2023 21:00,0.00111473,0.00111473
01.01.2023 21:00 - 01.01.2023 22:00,0.001136809,0.001136809
01.01.2023 22:00 - 01.01.2023 23:00,0.001125339,0.001125339
01.01.2023 23:00 - 02.01.2023 00:00,0.001103772,0.001103772
02.01.2023 00:00 - 02.01.2023 01:00,0.001085775,0.001085775
02.01.2023 01:00 - 02.01.2023 02:00,0.001086953,0.001086953
02.01.2023 02:00 - 02.01.2023 03:00,0.001110005,0.001110005
02.01.2023 03:00 - 02.01.2023 04:00,0.001141416,0.001141416
02.01.2023 04:00 - 02.01.2023 05:00,0.001167637,0.001167637
02.01.2023 05:00 - 02.01.2023 06:00,0.001200978,0.001200978
02.01.2023 06:00 - 02.01.2023 07:00,0.001242421,0.001242421
02.01.2023 07:00 - 02.01.2023 08:00,0.001287418,0.001287418
02.01.2023 08:00 - 02.01.2023 09:00,0.001276809,0.001276809
02.01.2023 09:00 - 02.01.2023 10:00,0.001200971,0.001200971
02.01.2023 10:00 - 02.01.2023 11:00,0.001105411,0.001105411
02.01.2023 11:00 - 02.01.2023 12:00,0.001001797,0.001001797
02.01.2023 12:00 - 02.01.2023 13:00,0.000911272,0.000911272
02.01.2023 13:00 - 02.01.2023 14:00,0.00083318,0.00083318
02.01.2023 14:00 - 02.01.2023 15:00,0.000757843,0.000757843
02.01.2023 15:00 - 02.01.2023 16:00,0.000719025,0.000719025
02.01.2023 16:00 - 02.01.2023 17:00,0.000737622,0.000737622
02.01.2023 17:00 - 02.01.2023 18:00,0.000818549,0.000818549
02.01.2023 18:00 - 02.01.2023 19:00,0.000918817,0.000918817
02.01.2023 19:00 - 02.01.2023 20:00,0.00098993,0.00098993
02.01.2023 20:00 - 02.01.2023 21:00,0.001033405,0.001033405
02.01.2023 21:00 - 02.01.2023 22:00,0.001045343,0.001045343
02.01.2023 22:00 - 02.01.2023 23:00,0.00102966,0.00102966
02.01.2023 23:00 - 03.01.2023 00:00,0.001009338,0.001009338
03.01.2023 00:00 - 03.01.2023 01:00,0.001002845,0.001002845
03.01.2023 01:00 - 03.01.2023 02:00,0.001019577,0.001019577
03.01.2023 02:00 - 03.01.2023 03:00,0.001034331,0.001034331
03.01.2023 03:00 - 03.01.2023 04:00,0.001053024,0.001053024
03.01.2023 04:00 - 03.01.2023 05:00,0.001070463,0.001070463
03.01.2023 05:00 - 03.01.2023 06:00,0.001092253,0.001092253
03.01.2023 06:00 - 03.01.2023 07:00,0.001120248,0.001120248
03.01.2023 07:00 - 03.01.2023 08:00,0.001155872,0.001155872
03.01.2023 08:00 - 03.01.2023 09:00,0.001163344,0.001163344
03.01.2023 09:00 - 03.01.2023 10:00,0.001103468,0.001103468
03.01.2023 10:00 - 03.01.2023 11:00,0.000993337,0.000993337
03.01.2023 11:00 - 03.01.2023 12:00,0.000881469,0.000881469
03.01.2023 12:00 - 03.01.2023 13:00,0.000794343,0.000794343
03.01.2023 13:00 - 03.01.2023 14:00,0.000718537,0.000718537
03.01.2023 14:00 - 03.01.2023 15:00,0.000651628,0.000651628
03.01.2023 15:00 - 03.01.2023 16:00,0.000613789,0.000613789
03.01.2023 16:00 - 03.01.2023 17:00,0.000616861,0.000616861
03.01.2023 17:00 - 03.01.2023 18:00,0.000664626,0.000664626
03.01.2023 18:00 - 03.01.2023 19:00,0.000755002,0.000755002
03.01.2023 19:00 - 03.01.2023 20:00,0.000832939,0.000832939
03.01.2023 20:00 - 03.01.2023 21:00,0.000885628,0.000885628
03.01.2023 21:00 - 03.01.2023 22:00,0.000907749,0.000907749
03.01.2023 22:00 - 03.01.2023 23:00,0.000898873,0.000898873
03.01.2023 23:00 - 04.01.2023 00:00,0.000883672,0.000883672
04.01.2023 00:00 - 04.01.2023 01:00,0.000872332,0.000872332
04.01.2023 01:00 - 04.01.2023 02:00,0.000882406,0.000882406
04.01.2023 02:00 - 04.01.2023 03:00,0.000912813,0.000912813
04.01.2023 03:00 - 04.01.2023 04:00,0.000948894,0.000948894
04.01.2023 04:00 - 04.01.2023 05:00,0.000980829,0.000980829
04.01.2023 05:00 - 04.01.2023 06:00,0.001017009,0.001017009
